product_id,sales,sold_in_distinct_parcels,in_distinct_dates_scanned,special_positive_rate_by_order,special_positive_rate_by_parcel,special_positive_rate_by_date,marked_has_battery_pct,marked_has_liquid_pct,marked_has_sensitive_pct,time,product_name,true_tag_ids,tags
58df03ff5f3e6c551c7b137e,9,8,7,77.8,87.5,100.0,11.1,0.0,66.7,1562025600,Paint Tube  Draw 12 Color Color Set 5ml  Free Paint Brush Painting Acrylic Yyang,"54adab2358f1773d0f60caab,55df749e601ef338c5baf6fd,53ebfee121a8634ff500d116,5488e93ef8a0b33e88c9e99d","acrylicpaint,acryliccolor,painttube,paintbrush,artsupplie,painting,12colorpaintingacrylic,craft,paintingacrylic,oilpainting,acrylic"
5ca184d2d44b26197e22cef4,9,8,8,55.6,62.5,62.5,0.0,0.0,55.6,1562025600,Snail Neck Face Cream Moisturizing Tighten Skin Smooth Fine Lines Neck Care Essential Cream,53fcd3f32ee34556013a732b,"antiaging,daycream,skincare,vitamin,antiwrinkle,whitening,moisturizer,neck,moisturizingcream,facecream"
5aa34aa6f3bcca590c3cbcde,9,8,7,100.0,100.0,100.0,33.3,0.0,77.8,1562025600,Beauty Bright Flower Crystal Jelly Lipstick Magic Temperature Change Color Lip Balm Makeup,53dc186421a86318bdc87f2b,"crystal,makeup,beauty,bright,magic,flower,jelly,pinklipstick,lip,cosmetic,flowerlipstick,lipstick"
5bebd967dfc9fa72c7065b9b,9,8,6,66.7,75.0,83.3,22.2,0.0,66.7,1562025600, nail pen One Step Nail Gel Painting Varnish Pen 3-in-1 Nail Gel Polish Easy To Use UV Gel Manicur,"5478f28258f177436386b912,55f35c92601ef31aae2408ca","pc,makeup,beauty,painting,nailpaint,pen,nail,nailpen,nailartaccessorie,naildecal,uv,naildecoration"
5aded8d41ab08a3e309667e1,9,8,8,77.8,87.5,87.5,33.3,0.0,55.6,1562025600,10ml Weight Loss Products  Skin Care French Slimming Essential Oils 100% Pure Plant Ginger Fat Burning Anti Cellulite 1pcs ,"546109908d922c56fc95fd1a,53dc186421a86318bdc87f30","slim,healthampbeauty,weightlo,essentialoil,bodycare,skincare,cellulitecream,plant,french,moisturizer"
582ab1ce8c229c3711f548c5,9,8,8,55.6,50.0,50.0,0.0,0.0,55.6,1562025600,Salon Hairdressing Barber Combs Clamps Scissors Holder Stand Tool ,"552ef9ab6c54631cdf94e650,53dc186421a86318bdc87f28","scissor,storage,stand,standtool,holder,scissorholder,scissorstand,scissorstorag,tool,antiskid,salondecor,salon,hairdressing"
5ce4e3c49730c65b9050dfe2,9,8,5,66.7,75.0,80.0,0.0,0.0,66.7,1562025600,Natural Schlong Oil,"5bc8d5f7fd0df917d8183d5c,5c82b6c76fa88c2ae4214d0d","manhood,penislock"
5c36e9f1b7d2d2233093959f,9,8,7,77.8,87.5,85.7,0.0,0.0,77.8,1562025600,New Oil Men's Massage Therapy PEN1S Enhanced Growth,546109908d922c56fc95fd1a,"penisenlargement,men,massage"
5ca332e8174958161e7ecbaf,9,8,7,66.7,75.0,71.4,11.1,0.0,55.6,1562025600,Portrait of Anna Silver Coin Russian Empire 1740 Ruble Commemorative Coin Souvenir,"5c82b6c76fa88c2ae4214d14,5603422c6c54632b344751f5","queen,russia,anna,souvenir,1740,coin,ruble,silvercoin,portrait,silver,jewelry,empire"
5c62660d55b33d2974e6a313,9,8,8,88.9,100.0,100.0,0.0,0.0,88.9,1562025600,2 Nail Art Acrylic Gel Picking Tool Rhinestones Gem Decor Black Eyelash Tweezers(size:12  15),54932ca0f8a0b37add06ad4b,"beauty,naildiy,art,decor,nailtip,gem,nail,nailarttool,rhinestone,nailart,accessorie,tool,tweezer,nailsticker,black,gadget,nailcare,acrylic"
5bbc3ba4b4c51429c868e65a,9,8,8,100.0,100.0,100.0,33.3,0.0,77.8,1562025600,MengLang Long Lasting Lipstick Waterproof Matte Liquid Lip Gloss Lip Liner Cosmetics,"53dc186421a86318bdc87f2b,546e82940d725226768b4125","makeup,beauty,waterproof,matte,kissproof,liquidlipstick,fashionbeauty,glos,cosmetic,lipglos,lip,lipstick"
